+	Ohthere	Ohthere	ohthere
+	forðam	forðam	forðam
-	þe	þe	þu
+	þu	ðu	þu
+	wesan	eart	wesan
+	fordeman	fordemed	fordeman
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
+	Apollonius	Apollonius	apollonius
-	hwa	Hwa	None
-	magan	mihte	miht
+	me	me	me
+	fordeman	fordeman	fordeman
-	min	minre	minre
+	agen	agenre	agen
-	þeod	þeode	þeon
+	ealdorman	ealdorman	ealdorman
+	Hellanicus	Hellanicus	hellanicus
-	cweþan	cwæð	cweðan
+	Antiochus	Antiochus	antiochus
+	se	se	se
-	cyning	cyngc	None
+	Apollonius	Apollonius	apollonius
-	cweþan	cwæð	cweðan
+	for	For	for
+	hwilc	hwilcum	hwilc
+	intinga	intingum	intinga
-	habban	hæfð	None
+	he	he	he
+	me	me	me
+	fordeman	fordemed	fordeman
+	Hellanicus	Hellanicus	hellanicus
-	secgan	sæde	sæd
+	forðam	Forðam	forðam
-	þe	þe	þu
+	þu	þu	þu
+	gyrnan	girndest	gyrnan
+	þæt	þæt	þæt
+	þu	þu	þu
-	wesan	wære	wære
-	se	þæt	þæt
+	se	se	se
+	fæder	fæder	fæder
+	wesan	is	wesan
+	Apollonius	Apollonius	apollonius
-	cweþan	cwæð	cweðan
+	micel	Micclum	micel
+	ic	ic	ic
+	wesan	eom	wesan
+	fordeman	fordemed	fordeman
+	Hellanicus	Hellanicus	hellanicus
-	secgan	sæde	sæd
+	swa	Swa	swa
+	hwilc	hwilc	hwilc
-	mann	man	munan
+	swa	swa	swa
+	þu	ðe	þu
+	lifian	lifigende	lifian
-	to	to	toh
-	he	him	him
-	bringan	bringð	None
+	onfon	onfo	onfon
+	se	se	se
+	fiftig	fiftig	fiftig
+	pund	punda	pund
+	gold	goldes	gold
+	se	Se	se
-	ðe	ðe	þu
-	he	him	him
+	bringan	bringe	bringan
-	þin	þin	þu
+	heafod	heafod	heafod
+	onfon	onfo	onfon
+	se	se	se
+	hundteontig	hundteontig	hundteontig
+	pund	punda	pund
+	gold	goldes	gold
+	forðam	Forðam	forðam
+	ic	ic	ic
+	þu	ðe	þu
+	læran	lære	læran
+	þæt	þæt	þæt
+	þu	þu	þu
+	fleon	fleo	fleon
+	and	and	and
+	beorgan	beorge	beorgan
+	þin	þinum	þin
+	lif	life	lif
+	æfter	Æfter	æfter
+	þes	þysum	þes
+	word	wordum	word
+	Hellanicus	Hellanicus	hellanicus
+	fram	fram	fram
-	he	him	him
-	gewendan	gewænde	None
+	and	and	and
+	Apollonius	Apollonius	apollonius
-	hatan	het	hettan
+	he	hine	he
+	eft	eft	eft
-	to	to	toh
-	he	him	him
+	geclipian	geclipian	geclipian
+	and	and	and
-	cweþan	cwæð	cweðan
-	to	to	toh
-	he	him	him
-	se	þæt	þæt
-	yfel	wyrreste	None
-	þing	þingc	None
+	þu	þu	þu
-	don	didest	None
+	þæt	þæt	þæt
+	þu	þu	þu
-	ic	me	me
-	warenian	warnodest	warnian
-	niman	Nym	None
+	nu	nu	nu
-	her	her	heran
+	æt	æt	æt
-	ic	me	me
+	hundteontig	hundteontig	hundteontig
+	pund	punda	pund
+	gold	goldes	gold
+	and	and	and
+	faran	far	faran
-	to	to	toh
+	Antiochus	Antiocho	antiochus
-	se	þam	þæm
-	cyning	cynge	cyng
+	and	and	and
+	secgan	sege	secgan
-	he	him	him
+	þæt	þæt	þæt
-	ic	me	me
-	wesan	sy	su
-	se	þæt	þæt
+	heafod	heafod	heafod
+	fram	fram	fram
-	se	þam	þæm
+	hnecca	hneccan	hnecca
+	aceorfan	acorfen	aceorfan
+	and	and	and
+	bringan	bring	bringan
-	se	þæt	þæt
+	word	word	word
-	se	þam	þæm
-	cyning	cynge	cyng
-	to	to	toh
-	blis	blisse	bliss
+	þonne	þonne	þonne
-	habban	hafast	hafian
+	þu	þu	þu
+	med	mede	med
+	and	and	and
-	eac	eac	eacan
+	clæne	clæne	clæne
+	hand	handa	hand
+	fram	fram	fram
+	se	þæs	se
+	unsceþþig	unscæðþigan	unsceþþig
+	blod	blode	blod
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
+	Hellanicus	Hellanicus	hellanicus
+	ne	Ne	ne
-	geweorþan	gewurðe	None
-	se	þæt	þæt
+	hlaford	hlaford	hlaford
+	þæt	þæt	þæt
+	ic	ic	ic
+	med	mede	med
+	niman	nime	niman
+	æt	æt	æt
+	þu	ðe	þu
+	for	for	for
+	þes	þisum	þes
+	þing	þingum	þing
+	forðam	forðon	forðam
-	þe	þe	þu
+	mid	mid	mid
+	god	godum	god
+	mann	mannum	mann
-	ne	n	næs
+	wesan	is	wesan
+	nahwæðer	naðer	nahwæðer
-	ne	ne	nesan
+	gold	gold	gold
-	ne	ne	nesan
+	seolfor	seolfor	seolfor
+	wiþ	wið	wiþ
+	god	godes	god
+	mann	mannes	mann
+	freondscipe	freondscipe	freondscipe
-	wiþmetan	wiðmeten	None
+	hi	Hi	hi
+	togan	toeodon	togan
-	þa	þa	þu
+	mid	mid	mid
+	þes	þisum	þes
+	word	wordum	word
+	and	And	and
+	Apollonius	Apollonius	apollonius
+	sona	sona	sona
+	gemetan	gemette	gemetan
+	oðer	oðerne	oðer
+	cuþ	cuðne	cuþ
-	mann	man	munan
+	ongeagn	ongean	ongeagn
+	he	hine	he
+	gan	gan	gan
+	se	þæs	se
+	nama	nama	nama
+	wesan	wæs	wesan
+	Stranguilio	Stranguilio	stranguilio
-	gehatan	gehaten	hatan
-	hlaford	Hlaford	None
+	geong	geong	geong
+	Apollonius	Apolloni	apollonius
-	hwæt	hwæt	hwæt#2
+	don	dest	don
+	þu	ðu	þu
+	þus	þus	þus
+	gedrefan	gedrefedum	gedrefan
+	mod	mode	mod
+	on	on	on
+	þes	þisum	þes
+	land	lande	land
+	Apollonius	Apollonius	apollonius
-	cweþan	cwæð	cweðan
+	ic	Ic	ic
-	gehyran	gehirde	None
-	secgan	secgan	None
+	þæt	þæt	þæt
+	ic	ic	ic
-	wesan	wære	wære
+	fordeman	fordemed	fordeman
+	Stranguilio	Stranguilio	stranguilio
-	cweþan	cwæð	cweðan
-	hwa	Hwa	None
+	fordeman	fordemde	fordeman
+	þu	þe	þu
+	Apollonius	Apollonius	apollonius
-	cweþan	cwæð	cweðan
+	Antiochus	Antiochus	antiochus
+	se	se	se
-	cyning	cyngc	None
+	Stranguilio	Stranguilio	stranguilio
-	cweþan	cwæð	cweðan
+	for	For	for
+	hwilc	hwilcum	hwilc
+	intinga	intingum	intinga
+	Apollonius	Apollonius	apollonius
-	secgan	sæde	sæd
+	forðam	Forðam	forðam
-	þe	þe	þu
+	ic	ic	ic
-	biddan	bæd	bædan
-	his	his	hit
+	dohtor	dohtor	dohtor
-	ic	me	me
-	to	to	toh
+	gemæcca	gemæccan	gemæcca
+	be	be	be
+	se	þare	se
+	ic	ic	ic
-	magan	mæg	mæg
-	to	to	toh
-	soþ	soðe	soð
-	secgan	secgan	None
+	þæt	þæt	þæt
+	heo	heo	heo
-	his	his	hit
-	agen	agen	ongeagn
+	gemæcca	gemæcca	gemæcca
-	wesan	wære	wære
+	forðam	Forðam	forðam
+	gif	gif	gif
+	hit	hit	hit
-	geweorþan	gewurðan	gewurðan
-	magan	mæg	mæg
+	ic	ic	ic
+	willan	wille	willan
-	ic	me	me
+	bediglian	bedihlian	bediglian
+	on	on	on
-	eower	eowrum	None
-	eþel	eðle	None
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
+	Stranguilio	Stranguilio	stranguilio
-	hlaford	Hlaford	None
+	Apollonius	Apolloni	apollonius
+	ure	ure	ure
+	ceaster	ceaster	ceaster
+	wesan	is	wesan
-	þearfan	þearfende	þurfan
+	and	and	and
-	ne	ne	nesan
-	magan	mæg	mæg
+	þin	þine	þin
+	æþelborenness	æðelborennesse	æþelborenness
+	acuman	acuman	acuman
+	forðam	forðon	forðam
-	þe	ðe	þu
+	we	we	we
-	þolian	þoliað	None
+	se	þone	se
-	heard	heardestan	None
+	hungor	hungor	hungor
+	and	and	and
+	se	þone	se
+	reðe	reðestan	reðe
+	and	and	and
-	min	minre	minre
+	ceasterwaru	ceasterwaru	ceasterwaru
-	ne	n	næs
+	wesan	is	wesan
+	nan	nan	nan
+	hælu	hælo	hælu
+	hyht	hiht	hyht
-	ac	ac	acan
+	se	se	se
+	wælhreow	wælreowesta	wælhreow
-	deaþ	deað	None
+	standan	stent	standan
+	ætforan	ætforan	ætforan
+	ure	urum	ure
+	eage	eagum	eage
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
+	Apollonius	Apollonius	apollonius
+	min	Min	min
+	se	se	se
-	leof	leofesta	None
+	freond	freond	freond
+	Stranguilio	Stranguilio	stranguilio
+	þancian	þanca	þancian
+	God	Gode	god
+	þæt	þæt	þæt
+	he	He	he
-	ic	me	me
+	flyma	fliman	flyma
+	hider	hider	hider
-	to	to	toh
-	eower	eowrum	None
+	gemære	gemæran	gemære
+	gelædan	gelædde	gelædan
+	ic	Ic	ic
+	sillan	sille	sillan
-	eower	eowrum	None
+	ceastergewara	geceasterwarum	ceastergewara
+	hundteontig	hundteontig	hundteontig
+	þusend	þusenda	þusend
+	mitta	mittan	mitta
+	hwætes	hwætes	hwætes
+	gif	gif	gif
+	ge	ge	ge
+	min	minne	min
+	fleam	fleam	fleam
+	bediglian	bedigliað	bediglian
+	mid	Mid	mid
-	se	þi	þi
-	þe	þe	þu
+	Stranguilio	Stranguilio	stranguilio
-	se	þæt	þæt
-	gehyran	gehirde	None
+	he	he	he
+	he	hine	he
+	astreccan	astrehte	astreccan
-	to	to	toh
-	his	his	hit
+	fot	fotum	fot
+	and	and	and
-	cweþan	cwæð	cweðan
-	hlaford	Hlaford	None
+	Apollonius	Apolloni	apollonius
+	gif	gif	gif
+	þu	ðu	þu
+	þes	þissere	þes
+	hungrig	hungrigan	hungrig
+	ceasterwaru	ceasterwaru	ceasterwaru
+	gehelpan	gehelpest	gehelpan
+	na	na	na
-	se	þæt	þæt
-	an	an	on
+	þæt	þæt	þæt
+	we	we	we
-	willan	willað	None
-	þin	þinne	þinne
+	fleam	fleam	fleam
+	bediglian	bediglian	bediglian
-	ac	ac	acan
-	eac	eac	eacan
+	swilce	swilce	swilce
+	gif	gif	gif
+	þu	þe	þu
+	neod	neod	neod
+	gebyrian	gebirað	gebyrian
+	we	we	we
-	willan	willað	None
+	campian	campian	campian
+	for	for	for
+	þin	ðinre	þin
+	hælu	hælo	hælu
+	þa	Ða	þa
+	astigan	astah	astigan
+	Apollonius	Apollonius	apollonius
+	on	on	on
-	se	þæt	þæt
+	domsetl	domsetl	domsetl
+	on	on	on
+	se	ðare	se
-	stræt	stræte	stræte
+	and	and	and
-	cweþan	cwæð	cweðan
-	to	to	toh
-	se	ðam	ðam
+	andweard	andweardan	andweard
+	ceasterwara	ceasterwarum	ceasterwara
+	ge	Ge	ge
+	tharsysc	tharsysce	tharsysc
+	ceasterwara	ceasterwaran	ceasterwara
+	ic	ic	ic
+	Apollonius	Apollonius	apollonius
+	se	se	se
+	tirisc	tirisca	tirisc
+	ealdorman	ealdorman	ealdorman
+	ge	eow	ge
+	cyþan	cyðe	cyþan
+	þæt	þæt	þæt
+	ic	ic	ic
+	gelifan	gelife	gelifan
+	þæt	þæt	þæt
+	ge	ge	ge
+	willan	willan	willan
+	beon	beon	beon
+	gemindig	gemindige	gemindig
+	þes	þissere	þes
+	fremfulnes	fremfulnesse	fremfulnes
+	and	and	and
+	min	minne	min
+	fleam	fleam	fleam
+	bediglian	bediglian	bediglian
-	witan	Wite	None
+	ge	ge	ge
-	eac	eac	eacan
+	þæt	þæt	þæt
+	Antiochus	Antiochus	antiochus
+	se	se	se
-	cyning	cyngc	None
-	ic	me	me
+	afliman	aflimed	afliman
-	habban	hæfð	None
+	of	of	of
-	min	minum	minum
+	eard	earde	eard
-	ac	ac	acan
+	for	for	for
-	eower	eowre	None
+	gesælþ	gesælðe	gesælþ
+	gefultuman	gefultumigendum	gefultuman
+	God	Gode	god
+	ic	ic	ic
+	wesan	eom	wesan
+	hider	hider	hider
+	cuman	cumen	cuman
+	ic	Ic	ic
+	sillan	sille	sillan
+	ge	eow	ge
+	soþlice	soðlice	soþlice
+	hundteontig	hundteontig	hundteontig
+	þusend	þusenda	þusend
+	mitta	mittan	mitta
-	hwæte	hwætes	hwætes
-	to	to	toh
-	se	ðam	ðam
+	weorþ	wurðe	weorþ
-	þe	þe	þu
+	ic	ic	ic
+	hit	hit	hit
+	gebycgan	gebohte	gebycgan
+	on	on	on
-	min	minum	minum
+	land	lande	land
+	þa	Ða	þa
-	þa	ða	þe
-	se	þæt	þæt
+	folc	folc	folc
-	se	þæt	þæt
-	gehyran	gehirde	None
+	hi	hi	hi
+	wesan	wæron	wesan
+	bliðe	bliðe	bliðe
-	geweorþan	gewordene	None
+	and	and	and
-	he	him	him
+	georne	georne	georne
+	þancian	þancodon	þancian
+	and	and	and
-	to	to	toh
+	geflit	geflites	geflit
+	se	þone	se
+	hwæte	hwæte	hwæte
+	up	up	up
+	beran	bæron	beran
-	hwæt	Hwæt	None
-	þa	ða	þe
+	Apollonius	Apollonius	apollonius
+	forlætan	forlet	forlætan
-	his	his	hit
+	se	þone	se
+	weorþfull	wurðfullan	weorþfull
+	cynedom	cynedom	cynedom
+	and	and	and
+	mangere	mangeres	mangere
-	nama	naman	naman
+	þær	þar	þær
+	geniman	genam	geniman
+	micel	ma	micel
+	þonne	þonne	þonne
+	gifend	gifendes	gifend
+	and	and	and
-	se	þæt	þæt
+	weorþ	wyrð	weorþ
-	þe	þe	þu
+	he	he	he
+	mid	mid	mid
-	se	þam	þæm
+	hwæte	hwæte	hwæte
+	geniman	genam	geniman
+	he	he	he
+	agifan	ageaf	agifan
+	sona	sona	sona
+	agean	agean	agean
-	to	to	toh
+	se	ðare	se
+	ceaster	ceastre	ceaster
+	bot	bote	bot
-	se	Þæt	þæt
+	folc	folc	folc
-	weorþan	wearð	None
-	þa	ða	þe
+	swa	swa	swa
-	fægen	fagen	None
-	his	his	hit
+	cystigness	cystignessa	cystigness
+	and	and	and
+	swa	swa	swa
+	þancfull	þancful	þancfull
+	þæt	þæt	þæt
+	hi	hig	hi
-	wyrcan	worhton	wyrсean
-	he	him	him
+	an	ane	an
+	anlicnes	anlicnesse	anlicnes
+	of	of	of
-	ar	are	are
+	and	And	and
+	on	on	on
+	se	ðare	se
-	stræt	stræte	stræte
+	standan	stod	standan
+	and	and	and
+	mid	mid	mid
+	se	þare	se
-	swiþ	swiðran	None
+	hand	hand	hand
+	se	þone	se
+	hwæte	hwæte	hwæte
+	healdan	heold	healdan
+	and	and	and
+	mid	mid	mid
-	se	þam	þæm
-	winestra	winstran	winstre
+	fot	fet	fot
-	þa	þa	þu
+	mitta	mittan	mitta
+	tredan	træd	tredan
+	and	and	and
-	þaron	þaron	þæron
+	þus	þus	þus
+	awriten	awriten	awriten
+	þes	ðas	þes
+	gifu	gifu	gifu
+	sellan	sealde	sellan
-	se	seo	seon
+	ceasterwaru	ceasterwaru	ceasterwaru
+	on	on	on
+	Tharsus	Tharsum	tharsus
+	Apollonius	Apollonio	apollonius
-	se	þam	þæm
-	tirisc	tiriscan	tiriscan
+	forðam	forðam	forðam
-	þe	þe	þu
+	he	he	he
-	se	þæt	þæt
+	folc	folc	folc
+	of	of	of
+	hungor	hungre	hungor
+	alesan	alesde	alesan
+	and	and	and
+	hira	heora	hira
+	ceaster	ceastre	ceaster
+	gestaþelian	gestaðolode	gestaþelian
+	æfter	Æfter	æfter
+	þes	þisum	þes
+	hit	hit	hit
+	gelimpan	gelamp	gelimpan
+	binnon	binnon	binnon
+	feawa	feawum	feawa
+	monað	monðum	monað
+	þæt	þæt	þæt
+	Stranguilio	Stranguilio	stranguilio
+	and	and	and
+	Dionisiade	Dionisiade	dionisiade
-	his	his	hit
+	wif	wif	wif
+	gelæran	gelærdon	gelæran
+	Apollonius	Apollonium	apollonius
+	þæt	ðæt	þæt
+	he	he	he
+	feran	ferde	feran
+	on	on	on
+	scip	scipe	scip
-	to	to	toh
+	Pentapolis	Pentapolim	pentapolis
+	se	þare	se
+	cirinisc	ciriniscan	cirinisc
+	byrig	birig	byrig
+	and	and	and
-	cweðan	cwædon	cweþan
+	þæt	þæt	þæt
+	he	he	he
-	magan	mihte	miht
+	þær	þar	þær
+	bediglian	bediglad	bediglian
+	beon	beon	beon
+	and	and	and
+	þær	þar	þær
+	wunian	wunian	wunian
+	and	And	and
-	se	þæt	þæt
+	folc	folc	folc
+	he	hine	he
-	þa	þa	þu
+	mid	mid	mid
+	unasecgendlic	unasecgendlicre	unasecgendlic
+	weorþmynd	wurðmynte	weorþmynd
-	to	to	toh
+	scip	scipe	scip
+	gelædan	gelæddon	gelædan
+	and	and	and
+	Apollonius	Apollonius	apollonius
+	hi	hi	hi
-	biddan	bæd	bædan
-	eal	ealle	ealle
+	gretan	gretan	gretan
+	and	and	and
+	on	on	on
+	scip	scip	scip
+	astigan	astah	astigan
+	mid	Mid	mid
-	se	þi	þi
-	þe	þe	þu
+	hi	hig	hi
+	onginnan	ongunnon	onginnan
-	þa	þa	þu
+	rowan	rowan	rowan
+	and	and	and
+	hi	hi	hi
+	forðweard	forðwerd	forðweard
+	wesan	wæron	wesan
+	on	on	on
+	hira	heora	hira
-	weg	weg	wegan
-	þa	þa	þu
-	weorþan	wearð	None
+	se	ðare	se
+	sæ	sæ	sæ
+	smyltness	smiltnesse	smyltness
+	awendan	awænd	awendan
+	færinga	færinga	færinga
+	betweoh	betwux	betweoh
+	twegen	twam	twegen
+	tid	tidum	tid
+	and	and	and
-	weorþan	wearð	None
+	micel	micel	micel
+	hreohness	reownes	hreohness
+	aweccan	aweht	aweccan
+	swa	swa	swa
+	þæt	þæt	þæt
-	se	seo	seon
+	sæ	sæ	sæ
+	cnyssan	cnyste	cnyssan
-	se	þa	þu
+	heofonlic	heofonlican	heofonlic
+	tungol	tungla	tungol
+	and	and	and
-	se	þæt	þæt
-	gewealc	gewealc	gewealcan
-	se	þara	þær
-	yþ	yða	None
+	hweoðerian	hwaðerode	hweoðerian
+	mid	mid	mid
+	wind	windum	wind
+	Þærtoeacan	Þartoeacan	þærtoeacan
-	cuman	coman	None
+	eastnorþerne	eastnorðerne	eastnorþerne
+	wind	windas	wind
+	and	and	and
+	se	se	se
+	angrislic	angrislica	angrislic
+	suðwesterne	suðwesterna	suðwesterne
-	wind	wind	windan
-	hi	him	him
+	ongeagn	ongean	ongeagn
+	standan	stod	standan
+	and	and	and
-	se	þæt	þæt
+	scip	scip	scip
+	eal	eal	eal
+	toberstan	tobærst	toberstan
+	on	On	on
+	þes	ðissere	þes
+	egeslic	egeslican	egeslic
+	hreohness	reownesse	hreohness
+	Apollonius	Apollonius	apollonius
-	gefera	geferan	gefere
-	eal	ealle	ealle
+	forweorþan	forwurdon	forweorþan
-	to	to	toh
-	deaþ	deaðe	None
+	and	and	and
+	Apollonius	Apollonius	apollonius
+	ana	ana	ana
+	becuman	becom	becuman
+	mid	mid	mid
+	sunde	sunde	sunde
-	to	to	toh
+	Pentapolis	Pentapolim	pentapolis
-	se	þam	þæm
+	cirinisc	ciriniscan	cirinisc
+	land	lande	land
+	and	and	and
+	þær	þar	þær
+	up	up	up
+	gan	eode	gan
+	on	on	on
+	ðam	ðam	ðam
+	strand	strande	strand
+	þa	Þa	þa
+	standan	stod	standan
+	he	he	he
+	nacod	nacod	nacod
+	on	on	on
-	se	þam	þæm
+	strand	strande	strand
+	and	and	and
+	behealdan	beheold	behealdan
-	se	þa	þu
+	sæ	sæ	sæ
+	and	and	and
-	cweþan	cwæð	cweðan
+	eala	Eala	eala
+	þu	þu	þu
+	sæ	sæ	sæ
+	Neptune	Neptune	neptune
-	mann	manna	mannian
+	bereafigend	bereafigend	bereafigend
+	and	and	and
+	unsceaþig	unscæððigra	unsceaþig
+	beswicend	beswicend	beswicend
+	þu	þu	þu
+	wesan	eart	wesan
-	wælhreow	wælreowra	wælreow
+	þonne	þonne	þonne
+	Antiochus	Antiochus	antiochus
+	se	se	se
-	cyning	cyngc	None
+	for	For	for
-	min	minum	minum
+	þing	þingum	þing
+	þu	þu	þu
+	gehealdan	geheolde	gehealdan
+	þes	þas	þes
+	wælhreowness	wælreownesse	wælhreowness
+	þæt	þæt	þæt
+	ic	ic	ic
+	þurh	þurh	þurh
+	þu	ðe	þu
+	geweorþan	gewurde	geweorþan
+	wædla	wædla	wædla
+	and	and	and
-	þearfa	þearfa	þearfian
+	and	and	and
+	þæt	þæt	þæt
+	se	se	se
+	wælhreow	wælreowesta	wælhreow
-	cyning	cyngc	None
+	me	me	me
-	se	þy	þywan
+	eaþ	eað	eaþ
+	fordon	fordon	fordon
-	magan	mihte	miht
+	hwider	Hwider	hwider
-	magan	mæg	mæg
+	ic	ic	ic
+	nu	nu	nu
+	faran	faran	faran
-	hwæt	Hwæs	None
-	magan	mæg	mæg
+	ic	ic	ic
+	biddan	biddan	biddan
+	oððe	oððe	oððe
-	hwa	hwa	hwæt
-	giefan	gifð	None
-	þam	þam	þæm
+	uncuþ	uncuðan	uncuþ
+	lifes	lifes	lifes
-	fultum	fultum	fultuman
+	mid	Mid	mid
-	se	þi	þi
-	þe	þe	þu
+	he	he	he
+	þes	þas	þes
-	þing	þingc	None
+	wesan	wæs	wesan
-	sprecan	sprecende	sprecende
-	to	to	toh
-	he	him	him
+	self	silfum	self
-	þa	þa	þu
+	færinga	færinga	færinga
+	geseon	geseah	geseon
+	he	he	he
+	sum	sumne	sum
+	fiscere	fiscere	fiscere
+	gan	gan	gan
+	to	To	to
-	se	þam	þæm
+	he	he	he
+	beseon	beseah	beseon
+	and	and	and
+	þus	þus	þus
+	sarlice	sarlice	sarlice
-	cweþan	cwæð	cweðan
+	gemiltsian	Gemiltsa	gemiltsian
-	ic	me	me
+	þu	þu	þu
+	eald	ealda	eald
-	mann	man	munan
-	wesan	sy	su
-	se	þæt	þæt
+	þu	þu	þu
-	wesan	sy	su
+	gemiltsian	gemildsa	gemiltsian
-	ic	me	me
+	nacod	nacodum	nacod
+	forliðan	forlidenum	forliðan
+	ne	N	ne
-	wesan	æs	æs
+	na	na	na
+	of	of	of
+	earmlic	earmlicum	earmlic
+	byrd	birdum	byrd
-	geberan	geborenum	geboren
+	and	And	and
+	se	ðæs	se
-	þe	ðe	þu
+	þu	ðu	þu
-	gearo	gearo	gearu
+	forwitan	forwite	forwitan
-	hwa	hwam	hwæt
+	þu	ðu	þu
+	gemiltsian	gemiltsige	gemiltsian
+	ic	ic	ic
+	wesan	eom	wesan
+	Apollonius	Apollonius	apollonius
+	se	se	se
+	tirisc	tirisca	tirisc
+	ealdorman	ealdorman	ealdorman
+	þa	Ða	þa
+	sona	sona	sona
+	swa	swa	swa
+	se	se	se
+	fiscere	fiscere	fiscere
+	geseon	geseah	geseon
+	þæt	þæt	þæt
+	se	se	se
-	geong	iunga	None
-	mann	man	munan
+	æt	æt	æt
-	his	his	hit
+	fot	fotum	fot
-	licgan	læg	liсgan
+	he	he	he
+	mid	mid	mid
+	mildheortness	mildheortnesse	mildheortness
+	he	hine	he
+	up	up	up
+	ahebban	ahof	ahebban
+	and	and	and
+	lædan	lædde	lædan
+	he	hine	he
+	mid	mid	mid
-	he	him	him
-	to	to	toh
-	his	his	hit
+	hus	huse	hus
+	and	and	and
-	se	ða	þe
+	est	estas	est
-	he	him	him
+	beforan	beforan	beforan
-	lecgan	legde	leсgan
-	þe	þe	þu
+	he	he	he
-	he	him	him
-	to	to	toh
+	beodan	beodenne	beodan
+	habban	hæfde	habban
+	þa	Þa	þa
+	git	git	git
+	he	he	he
+	willan	wolde	willan
+	be	be	be
-	his	his	hit
-	meaht	mihte	miht
+	micel	maran	micel
+	arfæstnes	arfæstnesse	arfæstnes
-	he	him	him
+	gecyðan	gecyðan	gecyðan
+	toslitan	toslat	toslitan
-	þa	þa	þu
-	his	his	hit
+	wæfels	wæfels	wæfels
+	on	on	on
+	twegen	twa	twegen
+	and	and	and
+	sellan	sealde	sellan
+	Apollonius	Apollonige	apollonius
+	se	þone	se
+	healf	healfan	healf
-	dæl	dæl	dælan
+	þus	þus	þus
-	cweþan	cweðende	cweðan
-	niman	Nim	None
-	se	þæt	þæt
+	ic	ic	ic
+	þu	þe	þu
-	to	to	toh
-	sellan	sillenne	None
-	habban	habbe	None
+	and	and	and
+	gan	ga	gan
+	into	into	into
+	se	ðare	se
+	ceaster	ceastre	ceaster
-	wen	Wen	None
+	wesan	is	wesan
+	þæt	þæt	þæt
+	þu	þu	þu
+	gemetan	gemete	gemetan
+	sum	sumne	sum
-	þe	þe	þu
+	þu	þe	þu
+	gemiltsian	gemiltsige	gemiltsian
-	gif	Gif	gifan
+	þu	ðu	þu
-	ne	ne	nesan
+	findan	finde	findan
+	nan	nænne	nan
-	þe	þe	þu
+	þu	þe	þu
+	gemiltsian	gemiltsian	gemiltsian
+	willan	wille	willan
-	wendan	wænd	None
+	þonne	þonne	þonne
+	hider	hider	hider
+	ongeagn	ongean	ongeagn
+	and	and	and
+	genihtsumian	genihtsumige	genihtsumian
+	wit	unc	wit
+	begen	bam	begen
+	min	mine	min
-	lytel	litlan	None
+	æht	æhta	æht
+	and	and	and
+	faran	far	faran
+	þu	ðe	þu
+	on	on	on
+	fiscnoþ	fiscnoð	fiscnoþ
+	mid	mid	mid
-	ic	me	me
+	þeahhwæðere	Þeahhwæðre	þeahhwæðere
+	ic	ic	ic
+	mynegian	mynegie	mynegian
+	þu	þe	þu
+	gif	gif	gif
+	þu	ðu	þu
+	fultuman	fultumiendum	fultuman
+	God	Gode	god
+	becuman	becymst	becuman
-	to	to	toh
+	þin	ðinum	þin
+	ær	ærran	ær
+	weorþmynd	wurðmynte	weorþmynd
+	þæt	þæt	þæt
+	þu	þu	þu
-	ne	ne	nesan
+	forgitan	forgite	forgitan
+	min	mine	min
+	þearfendlic	þearfendlican	þearfendlic
+	gegerela	gegirlan	gegerela
+	þa	Ða	þa
-	cweþan	cwæð	cweðan
+	Apollonius	Apollonius	apollonius
-	gif	Gif	gifan
+	ic	ic	ic
+	þu	þe	þu
-	ne	ne	nesan
+	geþencan	geþence	geþencan
+	þonne	þonne	þonne
-	ic	me	me
-	bet	bet	wel
-	beon	bið	None
+	ic	ic	ic
-	wyscan	wisce	None
+	þæt	þæt	þæt
+	ic	ic	ic
+	eft	eft	eft
+	forlidennes	forlidennesse	forlidennes
+	gefaran	gefare	gefaran
+	and	and	and
-	þin	þinne	þinne
+	gelica	gelican	gelica
+	eft	eft	eft
-	ne	ne	nesan
+	gemetan	gemete	gemetan
+	æfter	Æfter	æfter
+	þes	þisum	þes
+	word	wordum	word
+	he	he	he
+	gan	eode	gan
+	on	on	on
+	se	ðone	se
-	weg	weg	wegan
-	þe	þe	þu
-	he	him	him
-	geteon	getæht	tæсan
+	wesan	wæs	wesan
+	oþ	oð	oþ
+	þæt	ðæt	þæt
+	he	he	he
+	becuman	becom	becuman
-	to	to	toh
+	se	þare	se
+	ceaster	ceastre	ceaster
-	geat	geate	gietan
+	and	and	and
+	þær	ðar	þær
+	in	in	in
+	gan	eode	gan
+	mid	Mid	mid
-	se	þi	þi
-	þe	þe	þu
+	he	he	he
-	þencan	þohte	þenсean
-	hwa	hwæne	None
+	he	he	he
-	biddan	byddan	None
-	magan	mihte	miht
-	lif	lifes	lifes
-	fultum	fultum	fultuman
-	þa	þa	þu
+	geseon	geseah	geseon
+	he	he	he
+	an	ænne	an
+	nacod	nacodne	nacod
+	cnapa	cnapan	cnapa
+	geond	geond	geond
-	se	þa	þu
-	stræt	stræte	stræte
-	irnan	yrnan	yrnan
+	se	se	se
+	wesan	wæs	wesan
+	mid	mid	mid
-	ele	ele	elh
